Statistic,GDP_growth,Cons_growth,Inv_growth,Trade_balance
Mean,1.17204269544838,1.12113549075786,1.40139412262357,-0.0409758164990987
Standard deviation,5.27262727162096,5.83794980493988,19.1637993029455,4.76185882051227
Persistence,0.139901234809617,0.0536633893621715,0.336769496217703,0.724312981417374
,NaN,NaN,NaN,NaN
Correlation with GDP growth,1,0.864444603150507,0.755824383981712,-0.073387808267497
Correlation with Cons. growth,0.864444603150507,1,0.485577434238972,-0.105746080254294
Correlation with Inv. growth,0.755824383981712,0.485577434238973,1,-0.201089820660931
Correlation with TB,-0.073387808267497,-0.105746080254294,-0.201089820660931,1
